T,M,U
0.1368421052631579, 4096, -8192
0.1, 4096, -8192
0.12456140350877194, 4096, -8192
0.11228070175438597, 4096, -8192
0.16140350877192983, 4096, -8192
0.14912280701754388, 4096, -8192
0.18596491228070178, 4096, -8192
0.1736842105263158, 4096, -8192
0.22280701754385968, 4096, -8192
0.19824561403508772, 4096, -8192
0.2105263157894737, 4096, -8192
0.23508771929824565, 4096, -8192
0.2719298245614036, 4096, -8192
0.2596491228070176, 4096, -8192
0.2473684210526316, 4096, -8192
0.28421052631578947, 4096, -8192
0.3087719298245615, 4096, -8192
0.29649122807017547, 4096, -8192
0.32105263157894737, 4096, -8192
0.33333333333333337, 4096, -8192
0.3456140350877194, 4096, -8192
0.35789473684210527, 4096, -8192
0.38245614035087727, 4096, -8192
0.37017543859649127, 4096, -8192
0.39473684210526316, 4096, -8192
0.40701754385964917, 4096, -8192
0.41929824561403517, 4096, -8192
0.43157894736842106, 4096, -8192
0.45614035087719307, 4096, -8192
0.44385964912280707, 4096, -8192
0.46842105263157896, 4096, -8192
0.48070175438596496, 4096, -8192
0.5052631578947369, 4096, -8192
0.49298245614035097, 4096, -8192
0.5175438596491229, 4096, -8192
0.5298245614035089, 4096, -8192
0.5421052631578948, 4096, -8192
0.5543859649122808, 4096, -8192
0.5666666666666668, 4095.980004834008, -8191.92
0.5789473684210527, 4096, -8192
0.5912280701754387, 4095.980004834008, -8191.92
0.6035087719298247, 4096, -8192
0.6157894736842106, 4096, -8192
0.6280701754385966, 4095.980004834008, -8191.92
0.6403508771929826, 4095.980004834008, -8191.92
0.6526315789473685, 4095.980004834008, -8191.92
0.6649122807017545, 4095.980004834008, -8191.92
0.6771929824561405, 4095.960009570406, -8191.84
0.6894736842105263, 4095.880027539869, -8191.52
0.7017543859649124, 4095.9400142091927, -8191.76
0.7140350877192984, 4095.980004834008, -8191.92
0.7263157894736842, 4095.780057571451, -8191.16
0.7385964912280703, 4095.9400142091927, -8191.76
0.7508771929824563, 4095.8200399919915, -8191.28
0.7631578947368421, 4095.720068559374, -8190.88
0.7754385964912281, 4095.840035938904, -8191.36
0.7877192982456142, 4095.860031788196, -8191.44
0.8, 4095.5401255512074, -8190.2
0.812280701754386, 4095.5801103140443, -8190.32
0.824561403508772, 4095.64008184313, -8190.6
0.8368421052631579, 4095.5001989988964, -8190.04
0.849122807017544, 4095.1802353498438, -8188.72
0.86140350877193, 4095.0802287623133, -8188.36
0.8736842105263158, 4095.3201584247354, -8189.28
0.8859649122807018, 4094.720298140033, -8186.96
0.8982456140350878, 4094.9603074999395, -8187.84
0.9228070175438597, 4094.3404890165157, -8185.52
0.9105263157894737, 4094.5005312003564, -8186.12
0.9350877192982457, 4094.0806245114422, -8184.44
0.9473684210526316, 4094.2804886817416, -8185.32
0.9596491228070176, 4093.780526603741, -8183.44
0.9719298245614036, 4093.9205072888262, -8183.84
0.9842105263157895, 4093.5004140710676, -8182.08
0.9964912280701755, 4093.400786632064, -8181.88
